Symbol
AAPL
GOOGL
MSFT
AMZN
FB
TSLA
NFLX
BRK.A
JNJ
V
WMT
JPM
MA
PG
UNH
DIS
NVDA
HD
PYPL
BAC
VZ
CMCSA
ADBE
PFE
INTC
CSCO
T
CRM
PEP
ABT
